store_name,location,event_type,event_date,status,short_description,article_link,published_date,source_batch,Date_Appended
The Wok Chinese Kitchen,"440 Boston Post Road, Orange, CT",Opening,Not specified,coming soon,"The Wok Chinese Kitchen is coming soon to the former Five Guys space at 440 Boston Post Road in Orange, serving Chinese cuisine in a fast-casual format. It is a growing chain with 3 existing Pennsylvania locations and additional openings planned in New Jersey.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/orange-scoop-the-wok-chinese-kitchen-coming-to-former-five-guys-space,5/13/2026,ct_scoop_batch1_output,2026-05-15
Two Trees Inn,"240 Indiantown Road, Ledyard, CT",Opening,"May 12, 2026 (ribbon cutting described as ""yesterday"" in the 5/13 article)",officially reopened,"Two Trees Inn officially reopened with a ribbon cutting ceremony attended by members of the Mashantucket Pequot Tribal Nation and the new operator, Waterford Hotel Group. The 280-room hotel features an indoor pool, fitness center, walking trails, on-site breakfast, and a bar with light bites.",https://www.theconnecticutscoop.com/all-new-london-county-posts/ledyard-scoop-two-trees-inn-reopens-near-foxwoods,5/13/2026,ct_scoop_batch1_output,2026-05-15
No qualifying business found,,,,,"The article headline references a new mixed-use development eyed for the former Apple Cinemas building in Hartford County. However, the article body contains no readable content beyond site navigation — no business name, address, date, or status details are present.",https://www.theconnecticutscoop.com/all-hartford-county-posts/hartford-scoop-new-mixed-use-development-eyed-for-former-apple-cinemas-building,Not specified,ct_scoop_batch1_output,2026-05-26
Marianna's Pantry,"Stratford, CT (Address not specified)",Opening,Not specified,reopens,"The article headline states that Marianna's Pantry has reopened in Stratford. No further body text, address, zip code, or date details are available in the provided content.",https://www.theconnecticutscoop.com/all-fairfield-county-posts/stratford-scoop-mariannas-pantry-reopens-in-stratford,Not specified,ct_scoop_batch1_output,2026-05-26
Thena Pita Bar,"Moodus, CT (Address not specified)",Opening,Not specified,opens,"The article headline states that Thena Pita Bar has opened in Moodus. No further body text, address, zip code, or date details are available in the provided content.",https://www.theconnecticutscoop.com/all-middlesex-county-posts/moodus-scoop-thena-pita-bar-opens,Not specified,ct_scoop_batch1_output,2026-05-26
Augusta Street Kitchen,"Middletown, CT (Address not specified)",Closing,June 20th (year not specified),close on June 20th,"The article headline states that Augusta Street Kitchen is set to close on June 20th in Middletown. No further body text, address, zip code, or year details are available in the provided content.",https://www.theconnecticutscoop.com/all-middlesex-county-posts/middletown-scoop-augusta-street-kitchen-to-close-on-june-20th,Not specified,ct_scoop_batch1_output,2026-05-26
We-Li-Kit Ice Cream,"Pomfret, CT (Address not specified)",,,,"The article headline states that We-Li-Kit Ice Cream was named Best Ice Cream Shop in Windham County. This is an award/recognition event, not an opening or closure; no qualifying business event details are present in the provided content.",https://www.theconnecticutscoop.com/all-windham-county-posts/pomfret-scoop-we-li-kit-ice-cream-named-as-best-ice-cream-shop-in-windham-county,Not specified,ct_scoop_batch1_output,2026-05-26
Mr. P's Frozen Treats,"Bristol, CT (Address not specified)",Opening,Not specified,coming soon,"The article headline states that Mr. P's Frozen Treats is coming soon to Bristol. No further body text, address, zip code, or opening date details are available in the provided content.",https://www.theconnecticutscoop.com/all-hartford-county-posts/bristol-scoop-mrps-frozen-treats-coming-soon-to-bristol,Not specified,ct_scoop_batch1_output,2026-05-26
,"775 Main Street South, Southbury, CT (Southbury Green shopping center)",Opening,2026-05-28,Opening confirmed / date announced,,,,ct_scoop_batch1_output,2026-05-27
Whole Foods Market,"2061 Highland Avenue, Cheshire, Connecticut",Opening,Not specified,recently opened,"Whole Foods Market is a grocery supermarket. It is listed among the tenants now open at The Shops at Stone Bridge, a new shopping center at 2061 Highland Avenue in Cheshire. The development finished major construction earlier this year with phased tenant openings starting in late 2025.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/cheshire-scoop-update-on-the-shops-at-stone-bridge-here-is-what-is-open-and-what-is-coming-soon,6/8/2026,ct_scoop_batch1_output,2026-06-09
Kloter's Ice Cream Barn,"216 West Road, Ellington, Connecticut",,,,"Kloter's Ice Cream Barn is an ice cream shop located at 216 West Road in Ellington, Connecticut. The article reports they were voted ""Best Ice Cream Shop"" in Tolland County by readers and will advance to further rounds of voting — no opening or closing event is described.",https://www.theconnecticutscoop.com/all-tolland-county-posts/ellington-scoop-kloters-ice-cream-barn-voted-best-ice-cream-shop-in-tolland-county,6/7/2026,ct_scoop_batch1_output,2026-06-09
Brew Lab Café,"1949 Silas Deane Highway, Rocky Hill, Connecticut",Opening,"June 13, 2026","soft open on Saturday, June 13th from 8am to 3pm","Brew Lab Café is a new coffee shop offering Vietnamese coffee, fruit teas, milk teas, espresso drinks, mochi donuts, and Taiwanese chicken. It will soft open on Saturday, June 13th from 8am to 3pm at 1949 Silas Deane Highway in Rocky Hill, previously home to a Dunkin. The shop is owned by Trung Ho and Thao Tran.",https://www.theconnecticutscoop.com/all-hartford-county-posts/rocky-hill-scoop-brew-lab-cafe-sets-opening-date-in-rocky-hill,6/7/2026,ct_scoop_batch1_output,2026-06-09
Plan B Burger Bar,"1638 Boston Post Road, Milford, Connecticut",Closing,"June 14, 2026",final day of operation will be June 14th,"Plan B Burger Bar is a locally owned burger restaurant chain located at 1638 Boston Post Road in Milford, part of the Milford Marketplace shopping center. The restaurant's final day of operation will be June 14th according to staff. The chain originally opened in Milford in the fall of 2011 and has closed numerous other locations in prior years; after this closure, two locations in Simsbury and Glastonbury will remain.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/milford-scoop-plan-b-burger-bar-closing,6/7/2026,ct_scoop_batch1_output,2026-06-09
O'Reilly Auto Parts,"300 Cooley Street, Springfield, Massachusetts",Opening,Not specified,eyeing a new location,"O'Reilly Auto Parts is an auto parts retailer that has leased the former Casa Vallarta Mexican Restaurant space at Five Town Plaza for a new Springfield location. The space is located at 300 Cooley Street in Springfield and would be roughly 7,500 square feet; it is unclear whether they will reuse the existing building or demolish and rebuild. This would be the third Springfield location for O'Reilly Auto Parts, with other locations on State Street and Liberty Street.",https://www.theconnecticutscoop.com/all-mass-posts/springfield-scoop-oreilly-auto-parts-eyeing-new-springfield-location,6/7/2026,ct_scoop_batch1_output,2026-06-09
5CB (formerly Five Churches Brewing),"193 Arch Street, New Britain, Connecticut",Closing,"June 8, 2026","last day will be this Monday, June 8th","5CB, formerly known as Five Churches Brewing, is a brewery located at 193 Arch Street in New Britain that has announced its pending closure after 8 years of business. The brewery's last day will be Monday, June 8th, and they are offering $5 pours of any beer that weekend to close out the chapter. The brewery opened in 2018 as Five Churches Brewing and changed its name to 5CB in 2025 following a legal dispute with a Georgia restaurant over the name.",https://www.theconnecticutscoop.com/all-hartford-county-posts/new-britain-scoop-fcb-formerly-five-churches-brewing-closing-after-8-years,6/6/2026,ct_scoop_batch1_output,2026-06-09
Dollar Tree,"430 Buckland Hills Drive, Manchester, Connecticut",Opening,Later this summer,expected to relocate…later this summer,"Dollar Tree is a dollar store chain constructing a new Manchester location at 430 Buckland Hills Drive, near Walmart, with signage recently installed and interior fit-out progressing. The new store will occupy roughly 12,000 square feet and is expected to relocate from The Plaza at Buckland Hills to this new location later this summer. Renovation is underway including a new interior and refreshed exterior with the chain's signature green paint color accents.",https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-dollar-tree-work-progressing-in-manchester,6/6/2026,ct_scoop_batch1_output,2026-06-09
The Cornerstone (mixed-use development),"North Main Street and Riverside Avenue, Bristol, Connecticut",Opening,Not specified,proposed,"The Cornerstone is a proposed 6-story mixed-use development by Carrier Homes planned for the corner of North Main Street and Riverside Avenue in Bristol, featuring 70 residential units, 5,000 square feet of retail/commercial space, and covered parking. According to the Mayor's office, the parcel will be sold for $250,000 and receive a standard 7-year tax abatement. The development is on the site of the former Mall at Bristol Centre, which operated until 2005 and was demolished in 2008.",https://www.theconnecticutscoop.com/all-hartford-county-posts/bristol-scoop-final-phase-of-bristol-mall-development-announced,6/6/2026,ct_scoop_batch1_output,2026-06-09
Gas Burgers,"277 State Street, North Haven, Connecticut",Opening,Later this month (June 2026),opening its doors later this month,"Gas Burgers is a new retro 1950s-style burger joint at 277 State Street in North Haven, converting a former gas station into a restaurant featuring smash-burgers, milkshakes, ice cream, outdoor fire pits, bocce, cornhole, and live music. The restaurant will be opening its doors later this month, with an exact date to be announced via social media. The new venture is owned by Chris Allen, a North Haven resident.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/north-haven-scoop-gas-burgers-preparing-to-open-later-this-month,6/6/2026,ct_scoop_batch1_output,2026-06-09
Mercado & Sips,"134 Church Street, Naugatuck, Connecticut",Opening,"June 6, 2026","opening its doors tomorrow, June 6th","Mercado & Sips is a dirty soda and drink shop located at 134 Church Street in Naugatuck, near Church Street Creamery, offering dirty sodas, coffee, espresso drinks, lemonade, teas, baked goods, and locally made goods. The shop opened on June 6th from 11am to 8pm, with hours on June 7th from 10am to 6pm. No additional ownership or franchise details are provided in the article.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/naugatuck-scoop-mercado-sips-opens-on-church-street,6/6/2026,ct_scoop_batch1_output,2026-06-09
"277 State Street, North Haven",Opening,Not specified,opening its doors later this month,"Gas Burgers is a new retro-style burger restaurant occupying a converted former gas station in North Haven. It will open later this month at 277 State Street, with an exact date to be announced via social media. The restaurant will feature smash-burgers, milkshakes, ice cream, outdoor fire pits, bocce, cornhole, and live music, and will be owned by North Haven resident Chris Allen.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/north-haven-scoop-gas-burgers-preparing-to-open-later-this-month,6/6/2026,,ct_scoop_batch2_output,2026-06-09
"Sky Tower Lobby, Mohegan Sun, Uncasville, Connecticut",Opening,"June 19, 2026",scheduled to open June 19th,"The Tiki Bar at Mohegan Sun is a seasonal pop-up experience returning for another summer, offering tropical cocktails and entertainment in the Sky Tower Lobby. It is scheduled to open June 19th and run until September 6th. The article also notes the current seasonal Secret Garden Bar pop-up is open through June 14th before closing for the season.",https://www.theconnecticutscoop.com/all-new-london-county-posts/mohegan-sun-scoop-tiki-bar-returning-for-another-summer-at-mohegan-sun,6/5/2026,,ct_scoop_batch2_output,2026-06-09
Frida Mexican Cuisine,"Island Coffee Traders space, East Hampton (no address/zip given)",Opening,Not specified,coming soon,Frida Mexican Cuisine is coming soon to the former Island Coffee Traders space in East Hampton. No further detail available in provided text.,https://www.theconnecticutscoop.com/all-middlesex-county-posts/east-hampton-scoop-frida-mexican-cuisine-coming-soon-to-island-coffee-traders-space,Not specified,ct_scoop_batch3_output,2026-06-09
Birdcode,Enfield (no address/zip given),Opening,Not specified,eyeing new location,Birdcode is eyeing a new location in Enfield. No further detail available in provided text.,https://www.theconnecticutscoop.com/all-hartford-county-posts/enfield-scoop-birdcode-eyeing-new-location-in-enfield,Not specified,ct_scoop_batch3_output,2026-06-09
Joey B's Restaurant,Hartford (no address/zip given),Opening,Not specified,new (first look),The article gives a first look at the new Joey B's Restaurant in Hartford. No opening date or further detail available in provided text.,https://www.theconnecticutscoop.com/all-hartford-county-posts/hartford-scoop-first-look-at-the-new-joey-bs-restaurant-in-hartford,Not specified,ct_scoop_batch3_output,2026-06-09
Not specified (unnamed in headline),"The Shoppes at Buckland Hills, Manchester (no address/zip given)",Opening,Not specified,opens,A new restaurant has opened at The Shoppes at Buckland Hills in Manchester. Name not given in provided text.,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-new-restaurant-opens-at-the-shoppes-at-buckland-hills-2-more-coming-soon,Not specified,ct_scoop_batch3_output,2026-06-09
No qualifying business found,,,,,,https://www.theconnecticutscoop.com/all-hartford-county-posts/simsbury-scoop-tim-hortons-not-coming-to-simsbury,,ct_scoop_batch3_output,2026-06-09
Faro Breakfast House,East Windsor (no address/zip given),Opening,Not specified,coming soon,Faro Breakfast House is coming soon to East Windsor. No further detail available in provided text.,https://www.theconnecticutscoop.com/all-hartford-county-posts/east-windsor-scoop-faro-breakfast-house-coming-soon-to-east-windsor,Not specified,ct_scoop_batch3_output,2026-06-09
No qualifying business found,,,,,,https://www.theconnecticutscoop.com/all-new-london-county-posts/north-franklin-scoop-meyers-crazy-hollow-creamery-voted-best-ice-cream-shop-in-new-london-county,,ct_scoop_batch3_output,2026-06-09
Not specified (unnamed vegan bakery in headline),Middletown (no address/zip given),Opening,Not specified,coming,A new vegan bakery is coming to Middletown. Name not given in provided text.,https://www.theconnecticutscoop.com/all-middlesex-county-posts/middletown-scoop-new-vegan-bakery-coming-to-middletown,Not specified,ct_scoop_batch3_output,2026-06-09
Fairfield Inn & Suites,"East Hartford, Connecticut",Opening,Not specified,open,"Fairfield Inn & Suites is a Marriott-branded hotel. The article reports it has opened in East Hartford, Connecticut. Article content could not be fully retrieved due to a 403 error; details confirmed only from headline.",https://www.theconnecticutscoop.com/all-hartford-county-posts/east-hartford-scoop-fairfield-inn-suites-towneplace-suites-open-in-east-hartford,Not specified,ct_scoop_batch1_output,2026-06-16
Jersey Mike's,"135 West Road, Ellington, Connecticut",Opening,Not specified,sets opening date,Jersey Mike's is a national sandwich chain. The article reports the Ellington location has set an opening date at 135 West Road. Article content could not be fully retrieved due to a 403 error; address confirmed from CT Scoop's own earlier snippet on the same location.,https://www.theconnecticutscoop.com/all-tolland-county-posts/ellington-scoop-jersey-mikes-sets-opening-date,Not specified,ct_scoop_batch1_output,2026-06-16
Connecticut Golf Land,"Vernon, Connecticut",Opening,Not specified,coming soon,Connecticut Golf Land is a family entertainment complex in Vernon. The article reports a new attraction is coming soon to the existing site. Article content could not be fully retrieved due to a 403 error; details confirmed only from headline.,https://www.theconnecticutscoop.com/all-tolland-county-posts/vernon-scoop-new-attraction-coming-soon-to-connecticut-golf-land,Not specified,ct_scoop_batch1_output,2026-06-16
Dairy Cream,"Windsor Locks, Connecticut",,,,"Dairy Cream is an ice cream shop in Windsor Locks. The article covers its recognition as the Best Ice Cream Shop in Hartford County, which is an award — not an opening, closing, or remodel event. No qualifying business event is described.",https://www.theconnecticutscoop.com/all-hartford-county-posts/windsor-locks-scoop-dairy-cream-in-windsor-locks-voted-best-ice-cream-shop-in-hartford-county,Not specified,ct_scoop_batch1_output,2026-06-16
7th Street Burger,"1054 Chapel Street, New Haven, Connecticut",Opening,June 29,planning June 29th opening,"7th Street Burger is a smash burger chain originating in New York City. The article reports the restaurant is planning a June 29th opening at 1054 Chapel Street in New Haven, the former Avocado Haven location. Article content could not be fully retrieved due to a 403 error; address and prior context confirmed from CT Scoop's own earlier snippet about the same location.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/new-haven-scoop-7th-street-burger-planning-june-29th-opening-in-new-haven,Not specified,ct_scoop_batch1_output,2026-06-16
Farmers Tavern,"Southbury, Connecticut",Opening,Not specified,coming soon,"Farmers Tavern is a restaurant described as coming soon to Southbury. The article reports it is coming soon to Southbury, Connecticut. Article content could not be fully retrieved due to a 403 error; details confirmed only from headline.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/southbury-scoop-farmers-tavern-is-coming-soon-to-southbury,Not specified,ct_scoop_batch1_output,2026-06-16
Just Salad,"1460 Boston Post Road, Milford, Connecticut",Opening,Not specified,opens in Milford,"Just Salad is a fast-casual salad, wrap, and warm bowl chain. The article reports the location has opened at 1460 Boston Post Road in Milford, the former Boston Market space. Article content could not be fully retrieved due to a 403 error; address confirmed from CT Scoop's own earlier ""coming soon"" snippet for the same location.",https://www.theconnecticutscoop.com/all-new-haven-county-posts/milford-scoop-just-salad-opens-in-milford,Not specified,ct_scoop_batch1_output,2026-06-16
Luca's Beach Kitchen,"99 Calf Pasture Beach Road, Norwalk, Connecticut",Opening,Not specified,opens new beach-side eatery,"Luca's Beach Kitchen is a coastal kitchen and dining concept in Norwalk. The article reports it has opened at 99 Calf Pasture Beach Road, the former site of Ripka's Beach Café & The Dugout. Article content could not be fully retrieved due to a 403 error; address confirmed from CT Scoop's own earlier snippet for the same location.",https://www.theconnecticutscoop.com/all-fairfield-county-posts/norwalk-scoop-lucas-beach-kitchen-opens-new-beach-side-eatery,Not specified,ct_scoop_batch1_output,2026-06-16
The Main Moose,"94 Route 66, Columbia, Connecticut",Opening,Not specified,will reopen its doors,"The Main Moose is a roadside eatery in Columbia serving burgers, seafood, and ice cream. The article reports that The Main Moose will reopen its doors after a previous closure. Article content could not be fully retrieved due to a 403 error; address confirmed from external sources referencing the same location.",https://www.theconnecticutscoop.com/all-tolland-county-posts/columbia-scoop-the-main-moose-will-reopen-its-doors,Not specified,ct_scoop_batch1_output,2026-06-16
Run Manchester by Kelley's Pace,"Downtown Manchester, Connecticut",Opening,Not specified,coming soon,"Run Manchester by Kelley's Pace is a running store described as coming soon to Downtown Manchester. The article reports it is coming soon to downtown Manchester, Connecticut. Article content could not be fully retrieved due to a 403 error; details confirmed only from headline.",https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-run-manchester-by-kelleys-pace-coming-soon-to-downtown-manchester,Not specified,ct_scoop_batch1_output,2026-06-16
Starbucks,"286 Branford Road, North Branford, Connecticut",Opening,Not specified,delays opening,Starbucks is a national coffeehouse chain. The article reports the North Branford location at 286 Branford Road has delayed its opening. Article content could not be fully retrieved due to a 403 error; address confirmed from CT Scoop's own earlier snippet for the same location.,https://www.theconnecticutscoop.com/all-new-haven-county-posts/north-branford-scoop-starbucks-delays-opening,Not specified,ct_scoop_batch1_output,2026-06-16
Beach Donut Shop,"Clinton, Connecticut",Opening,Not specified,reopening in former Friendly's,"Beach Donut Shop is a handcrafted donut and breakfast shop in Clinton, Connecticut. The article reports it is reopening in the former Friendly's location in Clinton. Article content could not be fully retrieved due to a 403 error; details confirmed only from headline.",https://www.theconnecticutscoop.com/all-middlesex-county-posts/clinton-scoop-beach-donut-shop-reopening-in-former-friendlys,Not specified,ct_scoop_batch1_output,2026-06-16
Colony Grill,"3260 Berlin Turnpike, Newington",Opening,Not specified,eyeing possible new locations,Colony Grill is eyeing possible new locations in Newington and South Windsor according to recent state filings. The Fairfield County-based pizza chain also has a new location under construction in Glastonbury.,https://www.theconnecticutscoop.com/all-hartford-county-posts/newington-south-windsor-scoop-colony-grill-eyeing-possible-new-locations,,ct_scoop_batch1_output,2026-07-01
Molly's Sweet Spot,"122 Prospect Hill Road in East Windsor, part of Sophia's Plaza",Opening,Not specified,celebrates opening,"The new bakery opened its doors on Saturday, June 27th, to a line of hungry bakery patrons. Molly's Sweet Spot is located at 122 Prospect Hill Road in East Windsor, part of Sophia's Plaza.",https://www.theconnecticutscoop.com/all-hartford-county-posts/east-windsor-scoop-mollys-sweet-spot-celebrates-opening-in-east-windsor,,ct_scoop_batch1_output,2026-07-01
Legendz Barber Academy,"Meriden Mall, first floor next to the former Ruby Tuesday (former Regis Salon & Nail Box spaces)",Opening,Not specified,coming soon,A new tenant is coming to Meriden Mall. Legendz Barber Academy is coming soon to the Meriden Mall. The new school is planned to open in July.,https://www.theconnecticutscoop.com/all-new-haven-county-posts/meriden-scoop-new-barber-academy-coming-to-meriden-mall,,ct_scoop_batch1_output,2026-07-01
Bliss Matcha & Beyond,"981 Farmington Avenue, the former Boost Bowls space, West Hartford Center",Opening,Not specified,coming soon,"Bliss Matcha & Beyond is coming soon, they are now under construction at 981 Farmington Avenue.",https://www.theconnecticutscoop.com/all-hartford-county-posts/west-hartford-scoop-new-businesses-restaurants-coming-to-west-hartford-center,,ct_scoop_batch1_output,2026-07-01
Dairy Queen,81 East Street in Plainville,Opening,Not specified,will be reopening ... later this summer,Dairy Queen will be reopening their Plainville location this summer under new management. The seasonal stand is located at 81 East Street in Plainville.,https://www.theconnecticutscoop.com/all-hartford-county-posts/plainville-scoop-dairy-queen-to-reopen-under-new-ownership,,ct_scoop_batch1_output,2026-07-01
River - A Waterfront Restaurant & Bar,100 Great Meadow Road in Wethersfield,Opening,Not specified,"(already operating, review)","The restaurant is located at 100 Great Meadow Road in Wethersfield. River offers beautiful waterfront views ... Menu offerings ... include USDA Prime steaks, fresh seafood...",https://www.theconnecticutscoop.com/all-hartford-county-posts/wethersfield-review-river-a-waterfront-restaurant-bar,,ct_scoop_batch1_output,2026-07-01
Pandora,"243 Evergreen Way in South Windsor, The Shops at Evergreen Walk",Opening,Not specified,NOW OPEN,Pandora is NOW OPEN at The Shops at Evergreen Walk. The jewelry store chain has opened its new store at The Shops at Evergreen Walk.,https://www.theconnecticutscoop.com/all-hartford-county-posts/south-windsor-scoop-pandora-opens-at-the-shops-at-evergreen-walk,,ct_scoop_batch1_output,2026-07-01
Hobby Lobby,"167 Waterford Parkway North in Waterford, the former Bob's Stores / EMS space at Cross Roads Centre",Opening,Not specified,under construction,Hobby Lobby is under construction at 167 Waterford Parkway North in Waterford. They are anticipated to open this fall or winter.,https://www.theconnecticutscoop.com/all-new-london-county-posts/waterford-scoop-new-retailers-start-construction-in-waterford,,ct_scoop_batch1_output,2026-07-01
Chipotle,Max's Place at 22 Spencer Plains Road in Old Saybrook (new plaza),Opening,Not specified,eyed (new plaza approved),A new shopping plaza at the Max’s Place development has been approved ... The new building will be ... including Chipotle ...,https://www.theconnecticutscoop.com/all-middlesex-county-posts/old-saybrook-scoop-new-plaza-at-maxs-place-approved-chipotle-jersey-mikes-eyed-along-with-others,,ct_scoop_batch1_output,2026-07-01
