Store,Analyst,Industry,Type,Title,Link,Published,Summary,Date_Appended
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,BJ’s Wholesale Club expected to open South Mississippi location - WLOX,https://news.google.com/rss/articles/CBMiswFBVV95cUxPZko3TXlCSVR5bXNnNmp4LWRDLWw5aU1ld2loN2d0OUFpcXJTTlc0WUJBdExIcmVSV21JeE9kNm1LbGNxdU1SLXRpOEN4UTBWMmdDY25wOGs3cndQVXJFMzJqVlE3Vk5ocS1kZE1rTGxyZEpZbXBtNlZiX1Rzc3R5N0dKVk5RNzNvVUE4YnJLVTFyZlhkcXNMMXhKbWhFTVhOdDkxSnNqMXZvYmZTR1EtdWNaMA?oc=5,2026-07-09 16:35:33+00:00,BJ’s Wholesale Club expected to open South Mississippi location WLOX,2026-07-10
KJ's Market,Moksh Kashyap,Grocery,Closing,"Conway IGA, a longtime downtown grocery store, is closing. Here’s what we know - Myrtle Beach Sun News",https://news.google.com/rss/articles/CBMidEFVX3lxTE55aEZpNi1xeFk3cU5vV05qTC1UdkVyZ1Izc1kxYXV2N3hsQnRzaE5sRkQ2ZUtxY1FIUk8xcllicTlGUkpudnJ1QlctaW8xblZrQWNIenpNa3hESFFtNTB4RENaMG5CWjY0azA3bWNWMzB1NW8y0gF0QVVfeXFMT2RsaGlTNHhrWjJzMmpucGdpd2VwN1pmdHJXSUxGTEVCdVlxekpuWllkU08ydWFpdVBpTGZKSEptZ3hPcFFFdHY5akp3WXdSams5ZENFTTItcFMzVUZvNzRuUlNzRTJSWk1La2h1aGtGT0xrWXQ?oc=5,2026-07-09 16:31:00+00:00,"Conway IGA, a longtime downtown grocery store, is closing. Here’s what we know Myrtle Beach Sun News",2026-07-10
Stop & Shop,Rahul Shinde,Grocery,Opening,"Uncle Giuseppe’s to open Greenvale market, create 250 jobs - LI Press",https://news.google.com/rss/articles/CBMieEFVX3lxTE1rZnBGOEdrdXhNbHFlQXJRSUE5ZUlqRzlNZGt4Qzh1OHNZb1BtSC10OEVIOEZBWGhyejlQY2VUdFl5V21oTEZNOVdBdUl2NUJxQmdmS2RhYkZiSjJQdzI2YTdGdWFHTXRfV2lGbjVkRGFtN3NZczkzbA?oc=5,2026-07-09 16:05:44+00:00,"Uncle Giuseppe’s to open Greenvale market, create 250 jobs LI Press",2026-07-10
Chick-fil-a,Rahul Vasaya,Restaurants,Opening,Chick-fil-A opens new Carmichael restaurant on Fair Oaks Boulevard - CBS News,https://news.google.com/rss/articles/CBMilgFBVV95cUxPenFqQ2xuNlh5WXZIc0d3OWxURTdpWnJzX184U3NqaEhDeEt1TUZubGoyR0tYUV9MQlBhcUYyNzZqYlc4Qm9RSjFjaklNc3pqS0xLaDF1UzFaUkdQaUc1QWpXaE1LbUFQVUhXNS1qQ24wYVlKa3ZpVXpKZ0JHMjVqMEcwQUIydjIxNkRjZDZWcWpFNWdLUEE?oc=5,2026-07-09 15:45:14+00:00,Chick-fil-A opens new Carmichael restaurant on Fair Oaks Boulevard CBS News,2026-07-10
Mountain Mike's Pizza,Vishwas Shah,Restaurants,Opening,"5 things: Area's latest restaurant openings include Chick-fil-A, Mountain Mike's Pizza - The Business Journals",https://news.google.com/rss/articles/CBMiqwFBVV95cUxNTU91blQ2am9XLWpyZVZBZjJGWGp1QWdoZXdLanVTTWNnU0toR19WSU01Vk9xOEYtQWJzVGxqa3c5R0RsOW5DU3pmXy01VEN5STQ1MXg1c3MzbzhneGtILVc4UGRtRmt4TzU4REV3c0pOSW1NNW9sTkRZX3Y4SGMtVUhSbVB1MENEekhCSHZTQXlBZTFPbEJuQWdDTEdZR2NDS0R4QmZqSVNfV2s?oc=5,2026-07-09 14:27:00+00:00,"5 things: Area's latest restaurant openings include Chick-fil-A, Mountain Mike's Pizza The Business Journals",2026-07-10
Chick-fil-a,Rahul Vasaya,Restaurants,Opening,Chick-fil-A is moving a few miles on County Line Road - WAPT,https://news.google.com/rss/articles/CBMimAFBVV95cUxPOW5DRFhlUjgyOVk2ZkE5WV9HTHMtQm1aYl9Gd2ZESTB2OTBBenlOejhaLVE3MmRpRm50OWxqQXE0SjVuMzQ4RXVfUTM4Z0FUamJvbm1QdU4tTDVXdG1UZVBnVEZsLWIzLTdBZFhwajNURlVOS1JmaWZlVm1neERmMDM4eEJZNWpFX1dFcEVwX3NENTJaT2N5UQ?oc=5,2026-07-09 14:04:00+00:00,Chick-fil-A is moving a few miles on County Line Road WAPT,2026-07-10
Raising Cane's,Rahul Shinde,Restaurants,Opening,Raising Cane’s To Open Third Metro Detroit Restaurant in Novi Next Month - 94.7 WCSX,https://news.google.com/rss/articles/CBMiogFBVV95cUxPSUN2cVpQY05hVWhaVUJhektGSUJwT0VDeDFITnNUbHVYeVhnb2VKOERrZFZKbUdsZjFGY2dpcTA1b2FUSU5zdkVZbE90eURGRld3UHZ2NloxZ3JhRGtHcFhSdXFnQmkyLV96aUw1Wm9aYnJBOTJwM3VIY0NOQUNERWx0aVFDOUVRQWZqdThlSmI2cjUzRGlZQ0Z0M1VJLUg2ZEE?oc=5,2026-07-09 14:02:14+00:00,Raising Cane’s To Open Third Metro Detroit Restaurant in Novi Next Month 94.7 WCSX,2026-07-10
Grocery Outlet,Rahul Shinde,Grocery,Opening,Grocery Outlet to hold grand opening in Chesapeake Thursday - WAVY.com,https://news.google.com/rss/articles/CBMinAFBVV95cUxNZEtLTHdhNmowQ0tRMzlCOG1SS0ZHdUJBR0d5LW4ycC1TSEg3TFZBclZjYy1BVFlZYVI5Nm5pOW5tSnVJRGYyRG1lLXNEX3FVQ0l5UnhSWUhIZjVFNjRUakRwZXFfOTJtaF9GbzZfaE1mNEJ4WlVqYUdzMHFjXzhEMXdMa3FXdE5aMkRZOUU0N29iSkhrYlRaTmxERDc?oc=5,2026-07-09 13:20:46+00:00,Grocery Outlet to hold grand opening in Chesapeake Thursday WAVY.com,2026-07-10
Grocery Outlet,Rahul Shinde,Grocery,Opening,Grocery Outlet to hold grand opening in Chesapeake Thursday - Yahoo,https://news.google.com/rss/articles/CBMiigFBVV95cUxQT0xXVS10c3VGck5mdEF1Q05Lb0tCU3BwaHlkc2hqc1NoWmNldGowOHlSQ1c4bm4wRzJiZnUtZjJoVzJaM0d0aU1FOENHb3cxeDZPa2tQZk5XVTkycGhTYjVhTEFKUmdRR2lvVmk2djU1UXZpUFZjenZGRVRacW5ROF84ajMzbml1SlE?oc=5,2026-07-09 13:20:46+00:00,Grocery Outlet to hold grand opening in Chesapeake Thursday Yahoo,2026-07-10
Chick-fil-a,Rahul Vasaya,Restaurants,Opening,First Chick-fil-A Opening in Hillsboro - Chick-fil-A,https://news.google.com/rss/articles/CBMigwFBVV95cUxPQ2V3WHZxMm9ER3JzSlg5MXVHY0VmZ24yUUdvNS00bjA4QUNHZ2stc2pDZG1qR3MyQWpQU3FJZXBRQW1XWWtUdlhIbm42YXdCR1U3Y3N2dlVzRF9DQmZYNUx4VTdEWl91M2UzMFVlMEwwNFFvaERmLUQxUmpQcWFmcHFRcw?oc=5,2026-07-09 13:00:56+00:00,First Chick-fil-A Opening in Hillsboro Chick-fil-A,2026-07-10
Mountain Mike's Pizza,Vishwas Shah,Restaurants,Closing,Popular pizza franchisee files for bankruptcy despite two years of national expansion - AOL.com,https://news.google.com/rss/articles/CBMijgFBVV95cUxQUnZjOUwyd3JGcEhxb0JVUURuaGJtaVlLQWZncTJQUExIM1d5bW5pQ0RFU0ZyR3otOTB4blFCb19WYk5WM0stVmdDQnB2bExpVGl1Q0pUNG9SeTM0Qkw5Ym5OR3Q0SzJXOTV3M0w2eG9LN2o3OGRfZzYycmI5aFE1bFpVa2lyS2Zhc0xlZzFR?oc=5,2026-07-09 12:46:54+00:00,Popular pizza franchisee files for bankruptcy despite two years of national expansion AOL.com,2026-07-10
Trader Joe's,Rahul Shinde,Grocery,Opening,Trader Joe's announces 25 new store locations across 14 states - MSN,https://news.google.com/rss/articles/CBMitwFBVV95cUxNcUdsRXBKbG5OTDdrRXBXdEpiMDdIaGlUMzdjcUROVG1QNWhDU0xIbWpnUWs2UzlOX2MxTGJHMDl0d3ZfaXhaS3pqa2Q4bmdmTG01Sm9TZ1NXMmxNUUFMMzAtZGZFeG52emtUQ0U0RzlrcVVOOEFDQnQ3cV96RUVGYllmSUNJQXRYY1FIam9WWmN3TmgzSl80VEpIZ00xRXlXSE9CbVdpR2FQd0hOMmFNNjFNRm10bVk?oc=5,2026-07-09 12:26:58+00:00,Trader Joe's announces 25 new store locations across 14 states MSN,2026-07-10
Sheetz,Ankit Rawat,Convenience Stores / Distributors,Opening,Sheetz set to launch new location in Oakland County - Detroit Free Press,https://news.google.com/rss/articles/CBMivAFBVV95cUxOdURnelRiRWNuV3hUYXFQQTNzeV9GOC1fMTZlREpidUQzTlRnNDB6WFlYNkZBd01rWnlpSndXTWdxaU5qb2N0RUdnYmNDVEZCQjVXUFNFQ08xU1FVbkMwMllOOVVTM2Q3b2J4Zl9rellCeWZQOXFqM0RZU05WWVpiM0hyUW1LOGVyRGNMcXQ0WnI5U2RGeXREOXVlSGZQR24xNlc2cUpMVEs2bFYtV2ZwVjBEbFFSUzdrajR4VA?oc=5,2026-07-09 11:27:00+00:00,Sheetz set to launch new location in Oakland County Detroit Free Press,2026-07-10
Target,Vishwas Shah,Mass Merchandisers,Closing,Manchester City closing in on Liverpool target - DaveOCKOP,https://news.google.com/rss/articles/CBMikAFBVV95cUxQZkZCbjNRd2ZhMWUzeHZfXzBMN3VzN0Q5X2lVYUIxTHhleHhiMEI3VFpTSEFYSHJGRG5iMVlHV3VVVDVhQk1UMFNURzd5bmYyaHZ2emdDbnpWUzBpRTl3OUhBM0NiZlNOWHF5WXhDVk1mQlpWQXlOR19WYWpmeFR2WHZjRUk1Si0zak9tdDJNRGU?oc=5,2026-07-09 09:18:59+00:00,Manchester City closing in on Liverpool target DaveOCKOP,2026-07-10
At Home,Rahul Shinde,Housewares & Home Furnishings,Opening,"I'm scared to open my banking app: Bengaluru 'corporate girl' breaks down ₹45,000 monthly expenses - MSN",https://news.google.com/rss/articles/CBMirANBVV95cUxQRDFMRXBOSTdPcEIxek83aDgzZFR1VmFJX2JEMU1ZTm9OSkRJNXBrRVNfRmdjcUdWOFd2T3NWcDJUalhpQV9kRkEycDBCSGUtLWtuQXhSNk0wRFhPZmNIM0hDTmVMWm1GNldHWmZIOVZpMEFiY0dqU3RrdmFlaG9XYmx1VFN0UDV1eVdlQllJSGdVYmw0dkhlOWhDUmxzRmVhUjFhU1pGUjlxWlFpbklTOVNvWnVOMVFObTIxOU1vcmNRNXBVV2hKU29Jb05Ea0t0dUg2SXZGZDdwT0wzTjNXQmJNMlBRZXRyOFZ0VmpIMFo2ZUNURzI2ekt6Ny1vUU96Y3F4Y2hUOERiWEtCejY1NjRqSlNFdjhCMXVVa2I2RUpEdTJmWkJQaWZEWDNjX212NE1sV0JndksyNmlSVllEaVdFVC1TWEpXXy1IVjJ3NVFhNEh0Tk81YlIxdl9MZWlTYnRGcEVHaF9Gc3dKNWJySVF1eXh1VzJmUGRSNmdHSzQ2ZVEyWEd3Q3M4Y2p1MkUydElJSFhlTWJDS3V0UTg5Rk1ZTG11em9fNWVmTA?oc=5,2026-07-09 06:53:26+00:00,"I'm scared to open my banking app: Bengaluru 'corporate girl' breaks down ₹45,000 monthly expenses MSN",2026-07-10
Staples,Dhiraj Manghani,Mass Merchandisers,Opening,Now Open: Fiji Pantry Brings Small-Batch Pacific Islands Staples to Darlinghurst - Broadsheet,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOQjl6S2pOLWswcEhISmljQXN5c0NiWWRIeWFfd19uZDFvTlIwZ1lfdTMzWDhRWmlCck5fNk5MUnY4Y3A2MEVtX1dYSGFITWhudG9XVENoaGtYVnJ2WUNUUXJYLUVXcWpNZkdNZmxLMV9Xc2ItWkRib0d4M0wxekFWSXBrNWUyXzl1QUFqTEE1QmpuUVAyZHJxT0NUdUN2TWMya0VFU0Q0amI?oc=5,2026-07-09 06:24:04+00:00,Now Open: Fiji Pantry Brings Small-Batch Pacific Islands Staples to Darlinghurst Broadsheet,2026-07-10
Trader Joe's,Rahul Shinde,Grocery,Opening,Trader Joe’s Announces 25 New Store Locations Across 14 States - Men's Journal,https://news.google.com/rss/articles/CBMimgFBVV95cUxPTkFpUVlWVEUtblBFOGdudEg4LTkySUdzazJwY2JpRDdocGFDZ2ZOU19pMWJ6YlVpMEdMREUyZUdsQ3VSRDljX3RzRHNOUDR4UlpjSVB2M21pNTc3X0xtZDJoNlNrRlltTkRUMWtQMVZjTUtPNEoyMjZ6YWtQSlo1enRSUHZ5dWdCcWVBWlNmTkVMZkN2cUYxaXd3?oc=5,2026-07-09 06:00:00+00:00,Trader Joe’s Announces 25 New Store Locations Across 14 States Men's Journal,2026-07-10
Sam's Club,Dhiraj Manghani,Mass Merchandisers,Opening,Sam's Club to open $24M store on San Antonio's West Side - MSN,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQX1lUakZ3ZXBpZmpwYTA4S3p4YjRZdDVUcUhLa3lqei1ycG52dk84Z09HQi1vck9iWmJNTkFXU0s4VzA0MWh2ZWR3ZS1oUHpPRXN5ZnBlWE9BbHpJQWtFUmJqY0NNMk5tT0ppaHlHLTlRaHNjWm0yOUwyUlFxWVhmVzFxcVp1WllQaGdYRjJWblBMSzR4MXZ5bDZId2U5RFZJX2tpRmlUX0p0ZGc?oc=5,2026-07-09 05:41:18+00:00,Sam's Club to open $24M store on San Antonio's West Side MSN,2026-07-10
Pet Planet,Vishwas Shah,Pet Care,Opening,Anytime Fitness Rounds Out Retail Podium at 543 Richmond - 6ix Retail,https://news.google.com/rss/articles/CBMid0FVX3lxTFBmeFBKYVR3MC1rMFVNaW9OcXJNMDNVUk9TdEZoTEJ4QjZkeGxxZ0txRjB4M1gtVDZOb1UwSjY0eTdtTGNDMFFQSnBmYVJVQUJMNFo3UHBfT0JQZXdzeVdhdXQtbURSRUJ1RlRydV9PTjNvNG1ia3I4?oc=5,2026-07-09 03:48:49+00:00,Anytime Fitness Rounds Out Retail Podium at 543 Richmond 6ix Retail,2026-07-10
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,BJ’s Wholesale Club expected to open South Mississippi location - WDAM-TV,https://news.google.com/rss/articles/CBMinwFBVV95cUxNLXRMei01c0gwUTA5M0JzWnQ2YTZiVGNnYldEbTVadW9qYlNkNHNQaEpQNVBSa0l0UXQxLU45V1ZkcmVIanQ1akIxTTlHNHA0RmluWjlVWk52TG5ONS1ZUl8yZ3FDb2dGNXRUeHRYc0pCU3ExRUtzQ1FzenJhVGhGQkhIYTFuQUJDdVpRWUo1NnR6OGJodmYwaWVjRHk2elU?oc=5,2026-07-09 02:08:52+00:00,BJ’s Wholesale Club expected to open South Mississippi location WDAM-TV,2026-07-10
Trader Joe's,Rahul Shinde,Grocery,Opening,Trader Joe's reveals 8 new store locations. Find out which states. - AOL.com,https://news.google.com/rss/articles/CBMib0FVX3lxTE5Zek96cnpkWFhQZ0QxRGlBNFJ1VTZjTlRXRTRYX2JmUDE4OVZlNXhZVVA0QnhzZ2syQ1p0NTVSNm9Eem1PU2JSQU5ZRURIQm1Xd3Noekt2VGtqdDk2elY2eElfcnZfYUVPZlZocEI1OA?oc=5,2026-07-09 01:50:15+00:00,Trader Joe's reveals 8 new store locations. Find out which states. AOL.com,2026-07-10
Chick-fil-a,Rahul Vasaya,Restaurants,Opening,Chick-fil-A approved on former Logan’s Roadhouse site - Madison County Journal,https://news.google.com/rss/articles/CBMivgFBVV95cUxNeVFoRG1BdkJDZjktSUwzWHZlSHlhWE5zTkRkUTFiTFRWb1lSaXcxQjZud2lnRU9OdkcyaElxb0JVRjB4OWxEUktsRDJmRW9BWk5ET2padG16UWdiMGItdHhGdVo5UFNIckJWWVk5blZVMXpuR29RUHdyb2hvLVItdXJQN0hrOXdPSEJqWDJxajlULVEta2hNOHJKVEpJYWRQcjZROFFhVVBBV1NRQjZsazVFVEZPOHotSUNjTUFR?oc=5,2026-07-09 01:02:21+00:00,Chick-fil-A approved on former Logan’s Roadhouse site Madison County Journal,2026-07-10
Walgreens,Komal Agrawal,Drug Retailers,Closing,Walgreens and 9 Other Major Stores That Are Closing in April - AOL.com,https://news.google.com/rss/articles/CBMic0FVX3lxTE5wM3V0X2pnYVRKMlE5cVdUQS1DT192VEVkdUZkVEtmaGliYnZ3U001SmN5MjZzM3VmVExQZWpQUnpjU2VYUmx4TlVscjRzWFJadlhVUVltUHhpWjNMX2FuTlNDbVlxVEI1Y3MwSlBEUngzNzQ?oc=5,2026-07-08 22:48:27+00:00,Walgreens and 9 Other Major Stores That Are Closing in April AOL.com,2026-07-09
